,Country ID,Religion,Reason For Leaving,Child Language,Reason Not Attending Regularly,HealthStaIssueFollowupStatus,VaccinationIssueFollowupStatus,total_Visit,Father Employment,Child Lives With,EducationIssue Followup Status,Sisters,Gender,Mother Employment,Attend Edu Voc Learn Regularly,Brothers,age,Favorite Subject,Project ID,NutritionIssue Followup Status,years_sponsorchip,nutritional_status_MUAC,v_Bacillus_BCG,v_Tetanus_DPT3,Attend Edu Voc Learn Regularly
8483,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,8.0,87.0,184150.0,0.0,0.0,0.0,0.0,0.0,0.0
8484,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,2.0,14.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8485,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,14.0,9.0,184150.0,0.0,3.0,0.0,0.0,0.0,2.0
8486,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,13.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8487,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,22.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,13.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8488,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,10.0,54.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8489,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,87.0,184150.0,0.0,0.0,0.0,0.0,0.0,0.0
8490,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,9.0,87.0,184150.0,0.0,0.0,0.0,0.0,0.0,0.0
8491,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,11.0,54.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8492,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,23.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,9.0,1.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8493,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,13.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8494,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,87.0,184150.0,0.0,0.0,0.0,0.0,0.0,0.0
8495,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,12.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8496,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,8.0,87.0,184150.0,0.0,0.0,0.0,0.0,0.0,0.0
8497,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,8.0,87.0,184150.0,0.0,0.0,0.0,0.0,0.0,0.0
8498,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,10.0,54.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8499,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,87.0,184150.0,0.0,0.0,0.0,0.0,0.0,0.0
8500,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,87.0,184150.0,0.0,0.0,0.0,0.0,0.0,0.0
8501,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,11.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8502,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,10.0,54.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8503,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,8.0,87.0,184150.0,0.0,0.0,0.0,0.0,0.0,0.0
8504,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,9.0,87.0,184150.0,0.0,0.0,0.0,0.0,0.0,0.0
8505,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,21.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,11.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8506,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,8.0,87.0,184150.0,0.0,0.0,0.0,0.0,0.0,0.0
8507,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,4.0,0.0,2.0,2.0,2.0,12.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8508,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,12.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8509,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,5.0,12.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8512,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,11.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8513,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,12.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8514,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,22.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,9.0,38.0,184150.0,0.0,2.0,0.0,1.0,0.0,2.0
8516,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,23.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,9.0,38.0,184150.0,0.0,0.0,0.0,1.0,0.0,2.0
8517,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,11.0,9.0,184150.0,0.0,3.0,0.0,0.0,0.0,2.0
8518,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,22.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,9.0,38.0,184150.0,0.0,3.0,0.0,1.0,0.0,2.0
8519,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,10.0,38.0,184150.0,0.0,3.0,0.0,0.0,0.0,2.0
8522,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,31.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,9.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8524,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,30.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,10.0,54.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8526,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,32.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,10.0,54.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8528,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,30.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,9.0,9.0,184150.0,0.0,0.0,0.0,1.0,0.0,2.0
8531,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,31.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,9.0,9.0,184150.0,0.0,2.0,0.0,1.0,0.0,2.0
8532,1.0,0.0,0.0,12695.0,0.0,0.0,4.0,27.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8535,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,34.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,12.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8536,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,34.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,9.0,9.0,184150.0,0.0,2.0,0.0,1.0,0.0,2.0
8537,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,30.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,9.0,1.0,184150.0,0.0,3.0,0.0,1.0,0.0,2.0
8538,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,34.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,8.0,9.0,184150.0,0.0,2.0,0.0,1.0,0.0,2.0
8539,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,32.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,9.0,184150.0,3.0,5.0,0.0,1.0,0.0,2.0
8540,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,33.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,11.0,9.0,184150.0,0.0,3.0,0.0,0.0,0.0,2.0
8541,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,27.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,9.0,1.0,184150.0,0.0,3.0,0.0,1.0,0.0,2.0
8542,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,24.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,10.0,54.0,184150.0,0.0,0.0,0.0,1.0,0.0,2.0
8543,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,28.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,9.0,9.0,184150.0,0.0,0.0,0.0,1.0,0.0,2.0
8544,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,26.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,8.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8545,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,30.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,9.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8546,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,28.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,9.0,9.0,184150.0,0.0,3.0,0.0,1.0,0.0,2.0
8547,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,27.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,9.0,9.0,184150.0,0.0,0.0,0.0,1.0,0.0,2.0
8549,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,22.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,8.0,38.0,184150.0,3.0,0.0,0.0,1.0,0.0,2.0
8550,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,24.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,9.0,38.0,184150.0,3.0,2.0,0.0,1.0,0.0,2.0
8551,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,12.0,9.0,184150.0,0.0,2.0,0.0,0.0,0.0,2.0
8552,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,11.0,38.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8553,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,12.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8554,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,12.0,38.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8555,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,10.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8556,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,12.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8558,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,40.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,11.0,38.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8559,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,27.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,10.0,38.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8560,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,19.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,8.0,9.0,184150.0,0.0,3.0,0.0,1.0,0.0,2.0
8561,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,19.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,8.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8562,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,27.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,10.0,38.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8563,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,19.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,8.0,9.0,184150.0,0.0,4.0,0.0,1.0,0.0,2.0
8565,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,27.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,9.0,38.0,184150.0,0.0,3.0,0.0,1.0,0.0,2.0
8566,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,28.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,12.0,38.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8567,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,27.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,11.0,38.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8568,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,25.0,2.0,1.0,0.0,4.0,0.0,2.0,2.0,1.0,10.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8569,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,28.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,13.0,38.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8570,1.0,0.0,241.0,12695.0,0.0,0.0,0.0,15.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,15.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8572,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,29.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,10.0,38.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8573,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,36.0,2.0,1.0,0.0,4.0,0.0,2.0,2.0,3.0,11.0,9.0,184150.0,0.0,3.0,0.0,0.0,0.0,2.0
8574,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,27.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,13.0,9.0,184150.0,0.0,3.0,0.0,0.0,0.0,2.0
8575,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,27.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,10.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8576,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,29.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,12.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8577,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,32.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,12.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8578,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,27.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,10.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8579,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,30.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,10.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8580,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,37.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,10.0,9.0,184150.0,0.0,3.0,0.0,0.0,0.0,2.0
8581,1.0,0.0,241.0,12695.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,10.0,54.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8582,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,28.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,10.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8583,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,28.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,5.0,10.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8584,1.0,0.0,0.0,12695.0,0.0,0.0,4.0,24.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,7.0,9.0,184150.0,3.0,5.0,0.0,1.0,0.0,2.0
8585,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,26.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,9.0,9.0,184150.0,0.0,3.0,0.0,1.0,0.0,2.0
8586,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,28.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,9.0,9.0,184150.0,0.0,3.0,0.0,1.0,0.0,2.0
8587,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,24.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,10.0,9.0,184150.0,0.0,2.0,0.0,0.0,0.0,2.0
8588,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,24.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,8.0,9.0,184150.0,3.0,5.0,0.0,1.0,0.0,2.0
8589,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,25.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,10.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8590,1.0,0.0,80.0,12695.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,11.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8591,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,26.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,8.0,9.0,184150.0,0.0,2.0,0.0,1.0,0.0,2.0
8592,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,20.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,8.0,9.0,184150.0,0.0,4.0,0.0,1.0,0.0,2.0
8593,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,27.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0,9.0,184150.0,3.0,4.0,0.0,1.0,0.0,2.0
8594,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,27.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,9.0,9.0,184150.0,0.0,4.0,0.0,1.0,0.0,2.0
8595,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,26.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,9.0,9.0,184150.0,0.0,2.0,0.0,1.0,0.0,2.0
8596,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,26.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,8.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8597,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,21.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,8.0,9.0,184150.0,0.0,3.0,0.0,1.0,0.0,2.0
8599,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,26.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,2.0,9.0,38.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8602,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,28.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,12.0,9.0,184150.0,0.0,4.0,0.0,0.0,0.0,2.0
8603,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,30.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,11.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8605,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,26.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,9.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8609,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,26.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,12.0,9.0,184150.0,0.0,4.0,0.0,0.0,0.0,2.0
8611,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,28.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,10.0,38.0,184150.0,0.0,3.0,0.0,0.0,0.0,2.0
8614,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,19.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,13.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8615,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,16.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8616,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,13.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8617,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,14.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8618,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,9.0,87.0,184150.0,0.0,0.0,0.0,0.0,0.0,0.0
8619,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,11.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8620,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,19.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,16.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8621,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,19.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,13.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8622,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,18.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8623,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,16.0,13.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8624,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,19.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,17.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8625,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,20.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,8.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8626,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,11.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8627,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,11.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8628,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,19.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,14.0,9.0,184150.0,0.0,5.0,0.0,0.0,0.0,2.0
8629,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,19.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8630,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,20.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,8.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8631,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,11.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8632,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,12.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8633,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,4.0,1.0,2.0,2.0,0.0,11.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8634,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,9.0,87.0,184150.0,0.0,0.0,0.0,0.0,0.0,0.0
8635,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,19.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,8.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8636,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,16.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8637,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,11.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
8639,1.0,0.0,0.0,12695.0,0.0,0.0,2.0,19.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0,9.0,184150.0,0.0,5.0,0.0,1.0,0.0,2.0
8640,1.0,0.0,220.0,12695.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,4.0,0.0,2.0,2.0,0.0,14.0,9.0,184150.0,0.0,0.0,0.0,0.0,0.0,2.0
